date,delivery_point,point_type,curve_name,value
2021-11-05,Isle Of Grain,lng_terminal,Opening Stock,5590623156.0
2021-11-05,Humbly Grove,ugs,Opening Stock,2683902479.0
2021-11-05,Stublach,ugs,Opening Stock,4606119579.0
2021-11-05,Holehouse Farm,ugs,Opening Stock,235954293.0
2021-11-05,Dragon,lng_terminal,Opening Stock,1117203406.0
2021-11-05,Aldbrough,ugs,Opening Stock,2316354824.0
2021-11-05,South Hook,lng_terminal,Opening Stock,3474855240.0
2021-11-05,Hornsea,ugs,Opening Stock,2986629886.0
2021-11-05,Holford,ugs,Opening Stock,2425205882.0
2021-11-05,Hill Top,ugs,Opening Stock,490443176.0
2021-11-06,Holford,ugs,Opening Stock,2384655482.0
2021-11-06,Hornsea,ugs,Opening Stock,2986629886.0
2021-11-06,Aldbrough,ugs,Opening Stock,2255360079.0
2021-11-06,Isle Of Grain,lng_terminal,Opening Stock,5523550009.0
2021-11-06,South Hook,lng_terminal,Opening Stock,4550259309.0
2021-11-06,Hill Top,ugs,Opening Stock,490443176.0
2021-11-06,Humbly Grove,ugs,Opening Stock,2682728590.0
2021-11-06,Stublach,ugs,Opening Stock,4477109911.0
2021-11-06,Dragon,lng_terminal,Opening Stock,953077199.0
2021-11-06,Holehouse Farm,ugs,Opening Stock,235954293.0
2021-11-07,Holehouse Farm,ugs,Opening Stock,235954293.0
2021-11-07,Hill Top,ugs,Opening Stock,490443176.0
2021-11-07,Aldbrough,ugs,Opening Stock,2341409327.0
2021-11-07,Stublach,ugs,Opening Stock,4683035691.0
2021-11-07,Dragon,lng_terminal,Opening Stock,1741166538.0
2021-11-07,Isle Of Grain,lng_terminal,Opening Stock,5462957364.0
2021-11-07,Humbly Grove,ugs,Opening Stock,2682728590.0
