,date,prices_name,price,hub,hub2,unit,currency,price_type,products,source,product_type
153,2023-01-03,Czech Virtual Point_THE,0.1,Czech VTP,THE VTP,MWh,EUR,bid,MAR23,42 Financial Services,Month
154,2023-01-03,Czech Virtual Point_THE,1.0,Czech VTP,THE VTP,MWh,EUR,offer,MAR23,42 Financial Services,Month
155,2023-01-03,VTP_TTF,0.5,Austria VTP,TTF,MWh,EUR,bid,MAR23,42 Financial Services,Month
156,2023-01-03,VTP_TTF,1.7,Austria VTP,TTF,MWh,EUR,offer,MAR23,42 Financial Services,Month
157,2023-01-03,THE VTP,75.925,THE VTP,-,MWh,EUR,bid,MAR23,42 Financial Services,Month
158,2023-01-03,THE VTP,76.52499999999999,THE VTP,-,MWh,EUR,offer,MAR23,42 Financial Services,Month
159,2023-01-03,SK VTP_CEGH,0.5,Slovak VTP,Austria VTP,MWh,EUR,bid,MAR23,42 Financial Services,Month
160,2023-01-03,SK VTP_CEGH,2.0,Slovak VTP,Austria VTP,MWh,EUR,offer,MAR23,42 Financial Services,Month
161,2023-01-03,THE_TTF,0.625,THE VTP,TTF,MWh,EUR,bid,MAR23,42 Financial Services,Month
162,2023-01-03,THE_TTF,0.725,THE VTP,TTF,MWh,EUR,offer,MAR23,42 Financial Services,Month
163,2023-01-03,TTF,75.3,TTF,-,MWh,EUR,bid,MAR23,42 Financial Services,Month
164,2023-01-03,TTF,75.8,TTF,-,MWh,EUR,offer,MAR23,42 Financial Services,Month
165,2023-01-03,Czech VTP,77.265,Czech VTP,-,MWh,EUR,bid,APR23,42 Financial Services,Month
166,2023-01-03,Czech VTP,80.445,Czech VTP,-,MWh,EUR,offer,APR23,42 Financial Services,Month
167,2023-01-03,Czech Virtual Point_THE,0.0,Czech VTP,THE VTP,MWh,EUR,bid,APR23,42 Financial Services,Month
168,2023-01-03,Czech Virtual Point_THE,1.0,Czech VTP,THE VTP,MWh,EUR,offer,APR23,42 Financial Services,Month
169,2023-01-03,THE VTP,77.265,THE VTP,-,MWh,EUR,bid,APR23,42 Financial Services,Month
170,2023-01-03,THE VTP,79.445,THE VTP,-,MWh,EUR,offer,APR23,42 Financial Services,Month
171,2023-01-03,THE_TTF,1.65,THE VTP,TTF,MWh,EUR,bid,APR23,42 Financial Services,Month
172,2023-01-03,THE_TTF,1.8,THE VTP,TTF,MWh,EUR,offer,APR23,42 Financial Services,Month
173,2023-01-03,TTF,75.615,TTF,-,MWh,EUR,bid,APR23,42 Financial Services,Month
174,2023-01-03,TTF,77.645,TTF,-,MWh,EUR,offer,APR23,42 Financial Services,Month
175,2023-01-03,Czech VTP,78.825,Czech VTP,-,MWh,EUR,bid,Q2/23,42 Financial Services,Quarter
176,2023-01-03,Czech VTP,80.75,Czech VTP,-,MWh,EUR,offer,Q2/23,42 Financial Services,Quarter
177,2023-01-03,Czech Virtual Point_THE,0.5,Czech VTP,THE VTP,MWh,EUR,bid,Q2/23,42 Financial Services,Quarter
178,2023-01-03,Czech Virtual Point_THE,1.5,Czech VTP,THE VTP,MWh,EUR,offer,Q2/23,42 Financial Services,Quarter
179,2023-01-03,VTP_TTF,1.45,Austria VTP,TTF,MWh,EUR,bid,Q2/23,42 Financial Services,Quarter
180,2023-01-03,VTP_TTF,2.482,Austria VTP,TTF,MWh,EUR,offer,Q2/23,42 Financial Services,Quarter
181,2023-01-03,THE VTP,78.325,THE VTP,-,MWh,EUR,bid,Q2/23,42 Financial Services,Quarter
182,2023-01-03,THE VTP,79.25,THE VTP,-,MWh,EUR,offer,Q2/23,42 Financial Services,Quarter
183,2023-01-03,SK VTP_CEGH,0.5,Slovak VTP,Austria VTP,MWh,EUR,bid,Q2/23,42 Financial Services,Quarter
184,2023-01-03,THE_TTF,1.325,THE VTP,TTF,MWh,EUR,bid,Q2/23,42 Financial Services,Quarter
185,2023-01-03,THE_TTF,1.6,THE VTP,TTF,MWh,EUR,offer,Q2/23,42 Financial Services,Quarter
186,2023-01-03,TTF,77.0,TTF,-,MWh,EUR,bid,Q2/23,42 Financial Services,Quarter
187,2023-01-03,TTF,77.65,TTF,-,MWh,EUR,offer,Q2/23,42 Financial Services,Quarter
188,2023-01-03,Czech VTP,79.915,Czech VTP,-,MWh,EUR,bid,Q3/23,42 Financial Services,Quarter
189,2023-01-03,Czech VTP,82.28999999999999,Czech VTP,-,MWh,EUR,offer,Q3/23,42 Financial Services,Quarter
190,2023-01-03,Czech Virtual Point_THE,0.5,Czech VTP,THE VTP,MWh,EUR,bid,Q3/23,42 Financial Services,Quarter
191,2023-01-03,Czech Virtual Point_THE,1.5,Czech VTP,THE VTP,MWh,EUR,offer,Q3/23,42 Financial Services,Quarter
192,2023-01-03,VTP_TTF,1.325,Austria VTP,TTF,MWh,EUR,bid,Q3/23,42 Financial Services,Quarter
193,2023-01-03,VTP_TTF,2.2,Austria VTP,TTF,MWh,EUR,offer,Q3/23,42 Financial Services,Quarter
194,2023-01-03,THE VTP,79.415,THE VTP,-,MWh,EUR,bid,Q3/23,42 Financial Services,Quarter
195,2023-01-03,THE VTP,80.78999999999999,THE VTP,-,MWh,EUR,offer,Q3/23,42 Financial Services,Quarter
196,2023-01-03,THE_TTF,1.105,THE VTP,TTF,MWh,EUR,bid,Q3/23,42 Financial Services,Quarter
197,2023-01-03,THE_TTF,1.425,THE VTP,TTF,MWh,EUR,offer,Q3/23,42 Financial Services,Quarter
198,2023-01-03,TTF,78.31,TTF,-,MWh,EUR,bid,Q3/23,42 Financial Services,Quarter
199,2023-01-03,TTF,79.365,TTF,-,MWh,EUR,offer,Q3/23,42 Financial Services,Quarter
200,2023-01-03,Czech VTP,85.24499999999999,Czech VTP,-,MWh,EUR,bid,Q4/23,42 Financial Services,Quarter
201,2023-01-03,Czech VTP,87.72,Czech VTP,-,MWh,EUR,offer,Q4/23,42 Financial Services,Quarter
202,2023-01-03,Czech Virtual Point_THE,1.0,Czech VTP,THE VTP,MWh,EUR,bid,Q4/23,42 Financial Services,Quarter
203,2023-01-03,Czech Virtual Point_THE,2.0,Czech VTP,THE VTP,MWh,EUR,offer,Q4/23,42 Financial Services,Quarter
204,2023-01-03,VTP_TTF,3.3,Austria VTP,TTF,MWh,EUR,bid,Q4/23,42 Financial Services,Quarter
205,2023-01-03,VTP_TTF,3.525,Austria VTP,TTF,MWh,EUR,offer,Q4/23,42 Financial Services,Quarter
206,2023-01-03,THE VTP,84.24499999999999,THE VTP,-,MWh,EUR,bid,Q4/23,42 Financial Services,Quarter
207,2023-01-03,THE VTP,85.72,THE VTP,-,MWh,EUR,offer,Q4/23,42 Financial Services,Quarter
208,2023-01-03,THE_TTF,2.8,THE VTP,TTF,MWh,EUR,bid,Q4/23,42 Financial Services,Quarter
209,2023-01-03,THE_TTF,3.0,THE VTP,TTF,MWh,EUR,offer,Q4/23,42 Financial Services,Quarter
210,2023-01-03,TTF,81.445,TTF,-,MWh,EUR,bid,Q4/23,42 Financial Services,Quarter
211,2023-01-03,TTF,82.72,TTF,-,MWh,EUR,offer,Q4/23,42 Financial Services,Quarter
212,2023-01-03,Czech VTP,84.6,Czech VTP,-,MWh,EUR,bid,Q1/24,42 Financial Services,Quarter
213,2023-01-03,Czech VTP,87.65,Czech VTP,-,MWh,EUR,offer,Q1/24,42 Financial Services,Quarter
214,2023-01-03,Czech Virtual Point_THE,1.25,Czech VTP,THE VTP,MWh,EUR,bid,Q1/24,42 Financial Services,Quarter
215,2023-01-03,Czech Virtual Point_THE,2.2,Czech VTP,THE VTP,MWh,EUR,offer,Q1/24,42 Financial Services,Quarter
216,2023-01-03,VTP_TTF,1.0,Austria VTP,TTF,MWh,EUR,bid,Q1/24,42 Financial Services,Quarter
217,2023-01-03,VTP_TTF,2.9,Austria VTP,TTF,MWh,EUR,offer,Q1/24,42 Financial Services,Quarter
218,2023-01-03,THE VTP,83.35,THE VTP,-,MWh,EUR,bid,Q1/24,42 Financial Services,Quarter
219,2023-01-03,THE VTP,85.45,THE VTP,-,MWh,EUR,offer,Q1/24,42 Financial Services,Quarter
220,2023-01-03,THE_TTF,1.6,THE VTP,TTF,MWh,EUR,bid,Q1/24,42 Financial Services,Quarter
221,2023-01-03,THE_TTF,2.2,THE VTP,TTF,MWh,EUR,offer,Q1/24,42 Financial Services,Quarter
222,2023-01-03,TTF,81.75,TTF,-,MWh,EUR,bid,Q1/24,42 Financial Services,Quarter
223,2023-01-03,TTF,83.25,TTF,-,MWh,EUR,offer,Q1/24,42 Financial Services,Quarter
224,2023-01-03,Czech VTP,79.408,Czech VTP,-,MWh,EUR,bid,Sum 2023,42 Financial Services,Season
225,2023-01-03,Czech VTP,81.33500000000001,Czech VTP,-,MWh,EUR,offer,Sum 2023,42 Financial Services,Season
226,2023-01-03,Czech Virtual Point_THE,0.5,Czech VTP,THE VTP,MWh,EUR,bid,Sum 2023,42 Financial Services,Season
227,2023-01-03,Czech Virtual Point_THE,1.5,Czech VTP,THE VTP,MWh,EUR,offer,Sum 2023,42 Financial Services,Season
228,2023-01-03,VTP_TTF,1.575,Austria VTP,TTF,MWh,EUR,bid,Sum 2023,42 Financial Services,Season
229,2023-01-03,VTP_TTF,1.9,Austria VTP,TTF,MWh,EUR,offer,Sum 2023,42 Financial Services,Season
230,2023-01-03,THE VTP,78.908,THE VTP,-,MWh,EUR,bid,Sum 2023,42 Financial Services,Season
231,2023-01-03,THE VTP,79.83500000000001,THE VTP,-,MWh,EUR,offer,Sum 2023,42 Financial Services,Season
232,2023-01-03,SK VTP_CEGH,0.5,Slovak VTP,Austria VTP,MWh,EUR,bid,Sum 2023,42 Financial Services,Season
233,2023-01-03,SK VTP_CEGH,2.0,Slovak VTP,Austria VTP,MWh,EUR,offer,Sum 2023,42 Financial Services,Season
